date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:32	470300/470300	---M--	200	added ('OK')	image/jpeg	etag:%2272d1c-5d8eaa8f30900%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/10.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/10.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:32	524721/524721	---M--	200	added ('OK')	image/jpeg	etag:%22801b1-5d8eaa96d1b00%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/11.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/11.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:33	485807/485807	---M--	200	added ('OK')	image/jpeg	etag:%22769af-5d8eaa9c8a880%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/12.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/12.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:33	644513/644513	---M--	200	added ('OK')	image/jpeg	etag:%229d5a1-5d8eaaa42ba80%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/13.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/13.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:33	509162/509162	---M--	200	added ('OK')	image/jpeg	etag:%227c4ea-5d8eaaa9e4800%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/14.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/14.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:33	415085/415085	---M--	200	added ('OK')	image/jpeg	etag:%226556d-5d8eaab556300%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/15.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/elevation/Elevation/15.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:33	112319/112319	---M--	200	added ('OK')	image/jpeg	etag:%221b6bf-604aed4cc8316%22	https://www.signatureglobal.in/images/ORCHARD-AVENUE-sep.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/ORCHARD-AVENUE-sep.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:34	91853/91853	---M--	200	added ('OK')	image/jpeg	etag:%22166cd-5fded9d4f526f%22	https://www.signatureglobal.in/images/consUpdate/ORCHARD-AVENUE-2.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/consUpdate/ORCHARD-AVENUE-2.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:34	120925/120925	---M--	200	added ('OK')	image/jpeg	etag:%221d85d-5f6f22b3ed1c3%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/construction/SG-Orchard-Avenue2-march.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/construction/SG-Orchard-Avenue2-march.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:34	101178/101178	---M--	200	added ('OK')	image/jpeg	etag:%2218b3a-5eed81fe22fbb%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2-December.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2-December.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:34	111861/111861	---M--	200	added ('OK')	image/jpeg	etag:%221b4f5-5e7eda8bb39ab%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2-sep.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2-sep.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
13:30:35	146652/146652	---M--	200	added ('OK')	image/jpeg	etag:%2223cdc-5e0628f98f77c%22	https://www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2.jpg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/projects/orchard-avenue2/construction/Orchard-Avenue2.jpg	(from https://www.signatureglobal.in/orchard-avenue2.php)
